edge_id,source,source_name,source_region,source_tier,target,target_name,target_region,target_tier,relationship,use,cash_flow,amount,evidence,confidence,source_rank,target_rank
1,CRDO,Credo Technology,US,custom ASIC / interconnect,042700.KQ,Hanmi Semiconductor,Non-US,OSAT / packaging,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",CRDO pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium,1,2
2,CRDO,Credo Technology,US,custom ASIC / interconnect,BESI.AS,BE Semiconductor Industries,Non-US,OSAT / packaging,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",CRDO pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium,1,9
3,CRDO,Credo Technology,US,custom ASIC / interconnect,AMKR,Amkor Technology,US,OSAT / packaging,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",CRDO pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium,1,5
4,CRDO,Credo Technology,US,custom ASIC / interconnect,FORM,FormFactor,US,wafer fab equipment,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium,1,15
5,CRDO,Credo Technology,US,custom ASIC / interconnect,000660.KS,SK hynix,Non-US,memory,uses manufacturing capacity,fabless/customer design is manufactured at foundry or memory supplier,CRDO pays or BOM cash flows to 000660.KS,mostly undisclosed,public filings + market map,medium,1,41
6,CRDO,Credo Technology,US,custom ASIC / interconnect,000660.KS,SK hynix,Non-US,memory,uses memory ecosystem,"HBM/DRAM attached to accelerators, AI systems, or server platforms",system BOM cash flows toward memory suppliers,mostly undisclosed,NVIDIA/AMD/Micron/SK hynix disclosures + supply-chain map,medium,1,41
7,CRDO,Credo Technology,US,custom ASIC / interconnect,MU,Micron Technology,US,memory,uses manufacturing capacity,fabless/customer design is manufactured at foundry or memory supplier,CRDO pays or BOM cash flows to MU,mostly undisclosed,public filings + market map,medium,1,55
8,CRDO,Credo Technology,US,custom ASIC / interconnect,MU,Micron Technology,US,memory,uses memory ecosystem,"HBM/DRAM attached to accelerators, AI systems, or server platforms",system BOM cash flows toward memory suppliers,mostly undisclosed,NVIDIA/AMD/Micron/SK hynix disclosures + supply-chain map,medium,1,55
9,CRDO,Credo Technology,US,custom ASIC / interconnect,ONTO,Onto Innovation,US,wafer fab equipment,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium,1,10
10,CRDO,Credo Technology,US,custom ASIC / interconnect,GFS,GlobalFoundries,US,foundry,uses manufacturing capacity,fabless/customer design is manufactured at foundry or memory supplier,CRDO pays or BOM cash flows to GFS,mostly undisclosed,public filings + market map,medium,1,40
