Region,Rank in Region,Ticker,Company,Country,Exchange,Alpha Score,Theme,Current AI Chain Risk,Evidence Confidence,Latent Fit,Discovery Gap,Valuation Setup,Catalyst Density,Execution/Quality,Hype Penalty,Market Cap USD bn,PE Ratio,Market Cap Tier,Latent AI Pathway,Current AI Supply-Chain Screen,Valuation Note,Source URL,Bucket,Latest Price,Latest Currency,Latest Market Cap USD,Latest Market Cap USD bn,Latest YTD Return %,Market Data As Of,Market Data Source,Base Alpha Score,Price Rerating Penalty Score,AI2027 Price Adjusted Score,AI2027 Trend Bonus Score,AI2027 Trend Tags,AI2027 Trend Note
US,1,BRC,Brady,United States,NYSE,86.9,Asset ID/safety,Low,High,16,18,20,11,12,0,3.547,9.4543,,"Industrial labels, safety identification and asset tracking could become more valuable in dense robotic/data-center operations",No direct AI supply-chain positioning found; identification and workplace safety products.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.bradyid.com/,Security / safety,76.44,USD,3547000000.0,3.547,-2.81,2026-06-09,https://finance.yahoo.com/quote/BRC/,78.8,0.0,78.8,8.1,"physical_ai,security_sovereign","AI 2027/current overlay: physical_ai,security_sovereign; bonus +8.1 after cap/YTD discipline."
US,2,TWIN,Twin Disc,United States,NASDAQ,86.4,Power transmission,Low,High,17,20,20,13,8,1,0.257,12.06,,"Transmissions, clutches and control systems could benefit from robotics, automation and specialty cooling machinery spillovers",No direct AI infrastructure evidence found; marine/off-highway/industrial power transmission focus.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.twindisc.com/,Motion / mechanical,20.16,USD,257447000.0,0.257,24.44,2026-06-09,https://finance.yahoo.com/quote/TWIN/,76.4,0.0,76.4,10.0,"physical_ai,power_grid","AI 2027/current overlay: physical_ai,power_grid; bonus +10.0 after cap/YTD discipline."
Non-US,1,PWH.AX,PWR Holdings,Australia,ASX,86.0,Thermal systems,Medium,Medium,23,18,15,18,10,5,0.628,,Small/mid,Motorsport/aerospace heat exchangers and electronics cooling could be repurposed before data-center buyers discover them,"No current AI/data-center cooling positioning found in spot checks; official source emphasizes motorsport, automotive, emerging tech, aerospace/defence.",Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.pwr.com.au/,Thermal / heat transfer,8.73,AUD,627750379.08,0.628,10.51,2026-06-09,https://finance.yahoo.com/quote/PWH.AX/,79.0,0.0,79.0,7.0,power_grid,AI 2027/current overlay: power_grid; bonus +7.0 after cap/YTD discipline.
Non-US,2,BOY.L,Bodycote,United Kingdom,LSE,83.8,Heat treatment,Low,High,18,17,15,13,10,1,1.631,,Mid,"Thermal processing and specialty treatment could enable higher-spec metal components in liquid loops, robotics and industrial automation",No direct AI/fab/data-center supplier evidence found; heat-treatment services across industrial markets.,Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.bodycote.com/,Manufacturing / tooling,708.5,GBp,1630537397.28,1.631,-0.21,2026-06-09,https://finance.yahoo.com/quote/BOY.L/,73.8,0.0,73.8,10.0,"physical_ai,power_grid","AI 2027/current overlay: physical_ai,power_grid; bonus +10.0 after cap/YTD discipline."
Non-US,3,NTG.DE,Nabaltec,Germany,Xetra,81.8,Ceramic fillers/materials,Low,High,20,19,15,14,8,2,0.117,,Small,"Specialty alumina, ceramic bodies and flame-retardant fillers could become valuable in thermal, safety and enclosure materials",No direct AI/fab/data-center evidence found; specialty chemicals/ceramics.,Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.nabaltec.de/,Materials / chemicals,11.45,EUR,117282396.0,0.117,-8.03,2026-06-09,https://finance.yahoo.com/quote/NTG.DE/,74.0,0.0,74.0,7.8,power_grid,AI 2027/current overlay: power_grid; bonus +7.8 after cap/YTD discipline.
US,3,LNN,Lindsay,United States,NASDAQ,81.8,Water/irrigation telemetry,Low,High,18,19,20,14,10,1,1.171,16.3655,,"Irrigation automation, remote monitoring and water-efficiency systems could translate into scarce-water site management know-how",No direct AI supply chain evidence found; primarily irrigation and infrastructure equipment.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.lindsay.com/,Water / fluid systems,114.55,USD,1171278448.0,1.171,-5.45,2026-06-09,https://finance.yahoo.com/quote/LNN/,80.0,0.0,80.0,1.8,,AI 2027/current overlay: no direct factor; bonus +1.8 after cap/YTD discipline.
US,4,BMI,Badger Meter,United States,NYSE,81.7,Flow/water telemetry,Medium,High,22,16,15,15,12,5,3.693,27.9977,,Smart water metering + flow measurement could monitor liquid cooling water loops and water intensity,No direct AI/data-center/fab supplier evidence found in spot checks; official materials emphasize water utilities/C&I flow control.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.badgermeter.com/,Water / fluid systems,130.53,USD,3692850172.0,3.693,-26.0,2026-06-09,https://finance.yahoo.com/quote/BMI/,74.3,0.0,74.3,7.4,power_grid,AI 2027/current overlay: power_grid; bonus +7.4 after cap/YTD discipline.
Non-US,4,GHH.L,Gooch & Housego,United Kingdom,LSE,80.7,Specialty photonics,Medium,Medium,22,18,14,16,8,6,0.35,,Small,"Precision photonics outside data-center transceivers could become useful for sensing, inspection and quantum/edge infrastructure","No evidence found of CPO/datacenter transceiver supply; official source emphasizes industry, telecoms, aerospace, defense, space and life sciences.",Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://gandh.com/,Sensors / electronics,932.0,GBp,349897288.01,0.35,50.81,2026-06-09,https://finance.yahoo.com/quote/GHH.L/,72.7,0.0,72.7,8.0,"compute_factory,packaging_memory_test","AI 2027/current overlay: compute_factory,packaging_memory_test; bonus +8.0 after cap/YTD discipline."
Non-US,5,KSB.DE,KSB,Germany,Xetra,80.0,Pumps/valves,Medium,High,22,16,15,13,10,4,1.696,,Mid,Industrial pumps and valves could become critical as liquid cooling and water reuse component demand fragments,"No direct AI/data-center positioning found in spot checks; official source emphasizes pumps/valves for industry, energy, water and mining.",Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.ksb.com/,Water / fluid systems,878.0,EUR,1696231315.31,1.696,-9.48,2026-06-09,https://finance.yahoo.com/quote/KSB.DE/,72.7,0.0,72.7,7.3,power_grid,AI 2027/current overlay: power_grid; bonus +7.3 after cap/YTD discipline.
Non-US,6,TTG.L,TT Electronics,United Kingdom,LSE,78.8,Rugged electronics,Medium,Medium,21,17,15,15,8,5,0.278,,Small/mid,"Sensors, power conversion and electronics assemblies for regulated markets could migrate to rugged edge/thermal-control niches","No direct AI data-center/fab supplier evidence found; official source emphasizes medical, aerospace, defence, automation and electrification.",Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.ttelectronics.com/,Sensors / electronics,117.4,GBp,277662494.18,0.278,-0.51,2026-06-09,https://finance.yahoo.com/quote/TTG.L/,71.0,0.0,71.0,7.8,power_grid,AI 2027/current overlay: power_grid; bonus +7.8 after cap/YTD discipline.
